Housing estimates,Type of unit,Q3 1997,Q4 1997,Q1 1998,Q2 1998,Q3 1998,Q4 1998,Q1 1999,Q2 1999,Q3 1999,Q4 1999,Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016
,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Housing under construction,Total units,"77,470","73,984","67,623","77,196","76,081","74,932","69,023","83,234","83,149","83,376","78,492","87,611","87,089","89,146","85,920","99,658","96,939","99,776","98,692","118,470","119,489","119,210","116,684","127,883","134,849","137,774","131,891","150,261","154,284","155,230","144,844","160,936","164,059","169,880","161,854","175,219","175,690","178,721","172,460","187,142","198,182","198,036","190,377","199,277","198,682","185,937","169,786","157,300","154,629","156,423","152,469","161,480","160,564","159,559","153,651","161,332","168,071","174,437","173,779","193,611","202,530","206,530","198,977","202,254","207,198","208,037","201,914","210,139","216,471","214,856","194,271","200,577","210,484","213,776","208,852","216,304","220,181"
,Single-detached,"41,061","37,456","31,694","39,154","37,795","35,456","29,415","38,928","39,000","36,799","32,883","41,741","41,416","38,777","34,156","42,263","41,234","39,865","37,271","52,494","52,435","50,560","43,933","53,923","54,465","52,369","45,587","56,323","58,760","55,640","48,118","58,577","58,329","58,468","52,063","61,733","64,432","62,137","56,335","65,628","69,251","65,038","52,371","57,676","56,080","49,219","39,539","39,896","43,390","46,604","44,608","52,355","52,265","48,142","40,858","45,937","48,855","48,227","43,146","48,899","51,223","49,843","43,844","47,691","49,494","47,765","41,050","45,036","48,765","47,350","39,903","42,584","45,739","45,044","41,086","44,202","49,178"
,Multiples,"36,409","36,528","35,929","38,042","38,286","39,476","39,608","44,306","44,149","46,577","45,609","45,870","45,673","50,369","51,764","57,395","55,705","59,911","61,421","65,976","67,054","68,650","72,751","73,960","80,384","85,405","86,304","93,938","95,524","99,590","96,726","102,359","105,730","111,412","109,791","113,486","111,258","116,584","116,125","121,514","128,931","132,998","138,006","141,601","142,602","136,718","130,247","117,404","111,239","109,819","107,861","109,125","108,299","111,417","112,793","115,395","119,216","126,210","130,633","144,712","151,307","156,687","155,133","154,563","157,704","160,272","160,864","165,103","167,706","167,506","154,368","157,993","164,745","168,732","167,766","172,102","171,003"
,Semi-detached,"5,068","5,206","4,524","5,142","4,956","5,395","5,207","6,199","5,805","5,796","5,358","6,066","6,172","6,349","5,785","6,577","6,155","5,699","5,838","6,289","6,345","6,354","6,005","6,913","7,246","7,247","6,867","7,628","7,315","7,419","6,876","7,686","8,254","7,563","7,395","8,098","7,726","8,055","8,168","9,163","9,127","9,048","8,165","8,751","8,488","7,895","6,750","7,036","6,795","6,814","7,061","7,767","7,223","6,863","6,393","7,444","7,464","7,612","7,297","8,289","8,752","9,268","8,787","9,317","8,836","8,333","7,911","8,589","8,888","8,456","7,671","7,770","7,785","7,166","6,488","6,865","6,958"
,Row,"9,807","10,619","9,697","9,974","9,382","9,510","8,901","9,257","9,274","10,151","9,397","8,965","9,274","10,516","9,955","9,891","9,099","9,335","9,103","10,377","10,952","11,018","11,098","12,077","13,389","13,355","13,579","14,217","14,184","14,546","14,425","15,700","16,264","16,302","15,935","16,127","15,809","16,329","16,597","18,638","19,389","18,997","17,940","18,952","19,253","18,091","16,079","14,289","13,700","14,035","14,655","15,433","15,520","15,942","15,089","15,320","15,744","15,935","16,434","17,562","18,115","17,643","16,704","17,376","17,764","17,778","17,515","18,954","19,496","19,245","17,497","18,873","19,448","20,661","19,202","19,848","20,527"
,Apartment and other unit type,"21,534","20,703","21,708","22,926","23,948","24,571","25,500","28,850","29,070","30,630","30,854","30,839","30,227","33,504","36,024","40,927","40,451","44,877","46,480","49,310","49,757","51,278","55,648","54,970","59,749","64,803","65,858","72,093","74,025","77,625","75,425","78,973","81,212","87,547","86,461","89,261","87,723","92,200","91,360","93,713","100,415","104,953","111,901","113,898","114,861","110,732","107,418","96,079","90,744","88,970","86,145","85,925","85,556","88,612","91,311","92,631","96,008","102,663","106,902","118,861","124,440","129,776","129,642","127,870","131,104","134,161","135,438","137,560","139,322","139,805","129,200","131,350","137,512","140,905","142,076","145,389","143,518"
Housing completions,Total units,"42,827","40,225","27,966","32,427","38,378","35,170","29,320","30,641","41,464","39,561","30,243","33,683","44,387","37,560","30,196","34,685","46,012","41,043","37,024","39,600","54,697","54,305","40,770","47,830","55,663","54,981","45,300","48,644","61,642","60,035","47,053","51,688","58,095","54,406","49,321","51,784","60,015","54,827","46,516","50,517","56,042","55,814","44,261","52,688","58,197","58,991","39,378","46,636","45,363","45,064","37,611","46,513","54,373","48,358","36,669","44,455","49,331","45,168","39,363","42,186","50,861","47,683","39,028","49,362","47,812","49,292","38,797","45,014","47,979","49,638","54,824","45,634","47,418","46,585","42,490","45,627","49,889"
,Single-detached,"28,594","25,700","17,558","20,064","25,436","23,418","18,435","19,692","26,917","25,714","18,191","19,651","26,892","25,343","18,961","20,488","27,880","27,058","21,724","23,528","35,233","33,581","26,171","26,713","34,593","33,661","27,390","27,587","35,481","35,244","25,982","27,811","31,583","32,527","25,779","26,635","32,230","31,006","24,758","26,831","30,902","33,213","22,782","24,073","29,219","27,724","18,192","18,367","19,848","21,366","18,336","21,357","25,824","25,217","17,545","18,387","21,969","21,897","17,323","19,057","22,536","21,578","18,070","18,691","20,821","21,386","16,873","17,491","19,483","20,929","16,970","16,553","17,200","18,798","15,386","16,666","16,721"
,Multiples,"14,233","14,525","10,408","12,363","12,942","11,752","10,885","10,949","14,547","13,847","12,052","14,032","17,495","12,217","11,235","14,197","18,132","13,985","15,300","16,072","19,464","20,724","14,599","21,117","21,070","21,320","17,910","21,057","26,161","24,791","21,071","23,877","26,512","21,879","23,542","25,149","27,785","23,821","21,758","23,686","25,140","22,601","21,479","28,615","28,978","31,267","21,186","28,269","25,515","23,698","19,275","25,156","28,549","23,141","19,124","26,068","27,362","23,271","22,040","23,129","28,325","26,105","20,958","30,671","26,991","27,906","21,924","27,523","28,496","28,709","37,854","29,081","30,218","27,787","27,104","28,961","33,168"
,Semi-detached,"3,464","2,523","2,245","2,319","2,693","2,368","2,132","2,585","3,087","2,863","2,486","2,542","3,208","2,769","2,946","2,670","3,662","3,322","2,664","3,225","3,522","3,523","2,597","2,946","3,452","3,655","2,972","3,402","4,168","3,680","2,878","3,321","3,382","3,951","3,075","3,384","4,095","3,334","2,708","3,369","3,760","3,552","2,895","3,242","3,878","3,416","2,773","2,716","3,374","3,265","2,291","3,444","3,726","3,481","2,407","2,771","3,240","3,249","2,814","3,103","3,413","3,272","2,810","3,205","3,872","3,526","2,738","3,333","3,295","3,833","2,824","3,160","2,960","3,298","2,473","2,807","2,763"
,Row,"4,118","4,189","3,568","4,098","4,369","3,645","3,314","3,282","3,791","3,853","3,233","4,192","4,125","3,379","3,296","4,290","4,856","3,919","3,263","3,900","4,765","4,762","3,637","3,967","4,791","5,450","3,871","5,343","5,903","5,775","4,464","4,735","5,583","5,687","4,862","5,392","5,759","4,741","4,233","4,823","5,725","6,019","4,510","5,048","5,705","5,967","4,086","4,856","4,362","4,265","2,891","4,613","5,338","4,949","3,838","4,890","4,758","5,498","4,270","4,719","5,108","5,234","4,345","4,825","5,298","5,455","3,831","4,951","5,226","6,007","5,020","4,984","5,058","4,854","5,264","5,477","5,753"
,Apartment and other unit type,"6,651","7,813","4,595","5,946","5,880","5,739","5,439","5,082","7,669","7,131","6,333","7,298","10,162","6,069","4,993","7,237","9,614","6,744","9,373","8,947","11,177","12,439","8,365","14,204","12,827","12,215","11,067","12,312","16,090","15,336","13,729","15,821","17,547","12,241","15,605","16,373","17,931","15,746","14,817","15,494","15,655","13,030","14,074","20,325","19,395","21,884","14,327","20,697","17,779","16,168","14,093","17,099","19,485","14,711","12,879","18,407","19,364","14,524","14,956","15,307","19,804","17,599","13,803","22,641","17,821","18,925","15,355","19,239","19,975","18,869","30,010","20,937","22,200","19,635","19,367","20,677","24,652"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Corrections:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-20,Time series groups from CMHC's Starts and Completions Survey and Market Absorption Survey were temporarily removed due to a data error which impacted September 2023 and Q3 2023 series values. Impacted series have been corrected and reissued.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Geographical areas modified every 5 years to reflect most recent census definitions, therefore, data are not strictly comparable historically.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"These data are obtained from Canada Mortgage and Housing Corporation (CMHC) and are provided subject to <a href=https://www.cmhc-schl.gc.ca/about-us/terms-conditions/hmip-terms-conditions"" rel=""external noopener noreferrer"" target=""_blank"">CMHC Licence Agreement for the Use of Data (opens new window)</a>.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"For additional information and definitions, refer to <a href=https://www.cmhc-schl.gc.ca/professionals/housing-markets-data-and-research/housing-research/surveys/methods/methodology-rental-market-survey"" rel=""external noopener noreferrer"" target=""_blank"">CMHC Rental Market Survey Methodology and Definitions (opens new window)</a>.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How to cite: Statistics Canada. Table 34-10-0135-01  Canada Mortgage and Housing Corporation, housing starts, under construction and completions, all areas, quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3410013501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
